backbone,family,intensity,balacc,tpr_metal,tpr_plastic
resnet18,geometric,mild,0.9609,0.9416,0.8786
resnet18,geometric,moderate,0.961,0.9545,0.896
resnet18,acquisition,mild,0.9656,0.9416,0.9075
resnet18,acquisition,moderate,0.9463,0.9026,0.8844
resnet18,background,mild,0.9258,0.8636,0.8555
resnet18,background,moderate,0.8085,0.7208,0.7688
resnet18,resolution,mild,0.9625,0.9221,0.9017
resnet18,resolution,moderate,0.9467,0.8896,0.9075
regnety16gf,geometric,mild,0.9766,0.974,0.9422
regnety16gf,geometric,moderate,0.9736,0.9675,0.9249
regnety16gf,acquisition,mild,0.9789,0.9675,0.948
regnety16gf,acquisition,moderate,0.9674,0.9481,0.9191
regnety16gf,background,mild,0.9735,0.974,0.9306
regnety16gf,background,moderate,0.9471,0.9481,0.8613
regnety16gf,resolution,mild,0.9803,0.961,0.9538
regnety16gf,resolution,moderate,0.9682,0.9481,0.9306
effv2s,geometric,mild,0.9777,0.961,0.9422
effv2s,geometric,moderate,0.9766,0.974,0.9364
effv2s,acquisition,mild,0.9809,0.9675,0.9595
effv2s,acquisition,moderate,0.9634,0.9221,0.9075
effv2s,background,mild,0.9746,0.9675,0.9306
effv2s,background,moderate,0.9547,0.9351,0.8902
effv2s,resolution,mild,0.9733,0.9416,0.9422
effv2s,resolution,moderate,0.9682,0.9091,0.9306
convnext_tiny,geometric,mild,0.9688,0.9416,0.9249
convnext_tiny,geometric,moderate,0.964,0.9545,0.9075
convnext_tiny,acquisition,mild,0.967,0.9481,0.9191
convnext_tiny,acquisition,moderate,0.9532,0.9221,0.8902
convnext_tiny,background,mild,0.9521,0.9416,0.8786
convnext_tiny,background,moderate,0.8935,0.8312,0.7919
convnext_tiny,resolution,mild,0.9615,0.9286,0.9133
convnext_tiny,resolution,moderate,0.9478,0.8896,0.9133
