backbone,family,intensity,balacc,tpr_metal,tpr_plastic
resnet18,geometric,mild,0.9684,0.9416,0.9133
resnet18,geometric,moderate,0.9577,0.9481,0.8786
resnet18,acquisition,mild,0.9626,0.9286,0.9133
resnet18,acquisition,moderate,0.9055,0.7792,0.8555
resnet18,background,mild,0.9368,0.9351,0.815
resnet18,background,moderate,0.8622,0.8247,0.7457
resnet18,resolution,mild,0.9517,0.8571,0.9017
resnet18,resolution,moderate,0.9241,0.7532,0.8786
regnety16gf,geometric,mild,0.9798,0.974,0.9422
regnety16gf,geometric,moderate,0.9786,0.974,0.9364
regnety16gf,acquisition,mild,0.9693,0.9545,0.9075
regnety16gf,acquisition,moderate,0.9283,0.8312,0.8266
regnety16gf,background,mild,0.9743,0.9675,0.9191
regnety16gf,background,moderate,0.9379,0.9091,0.8382
regnety16gf,resolution,mild,0.9755,0.9416,0.948
regnety16gf,resolution,moderate,0.9559,0.8701,0.8786
effv2s,geometric,mild,0.9793,0.9545,0.9422
effv2s,geometric,moderate,0.971,0.9545,0.9075
effv2s,acquisition,mild,0.9704,0.9351,0.9249
effv2s,acquisition,moderate,0.9367,0.8312,0.8613
effv2s,background,mild,0.9708,0.9481,0.9133
effv2s,background,moderate,0.9508,0.9416,0.8555
effv2s,resolution,mild,0.9691,0.9091,0.9249
effv2s,resolution,moderate,0.9617,0.8766,0.9249
convnext_tiny,geometric,mild,0.9772,0.974,0.9538
convnext_tiny,geometric,moderate,0.9623,0.961,0.948
convnext_tiny,acquisition,mild,0.9633,0.9481,0.9133
convnext_tiny,acquisition,moderate,0.9043,0.8701,0.8324
convnext_tiny,background,mild,0.9544,0.9351,0.9075
convnext_tiny,background,moderate,0.9123,0.8766,0.8555
convnext_tiny,resolution,mild,0.9595,0.9416,0.9306
convnext_tiny,resolution,moderate,0.9386,0.9156,0.9017
