recipe,clean,geometric,acquisition,background,resolution
acq_mild_erase,0.9645397881637805,0.9598,0.966,0.9279,0.9564
acq_mild,0.9652023006493738,0.9609,0.9656,0.9258,0.9625
acq_mild_weighted,0.9637968448647221,0.9582,0.9607,0.8943,0.955
baseline (CE),0.966617435058976,0.9608,0.9538,0.9207,0.9468
light,0.967872530100855,0.9601,0.9531,0.9301,0.9463
weighted_loss,0.9606498879707946,0.9611,0.9519,0.8942,0.9452
sampler,0.9619306332444159,0.9571,0.9504,0.9081,0.9407
geo_rrc (light+RRC),0.9574386168383789,0.9571,0.9426,0.8952,0.9364
strong,0.954008922690919,0.946,0.9395,0.9225,0.9484
geo_rrc+cutmix,0.9648506755505214,0.9639,0.9291,0.9487,0.9379
