recipe,clean,geometric,acquisition,background,resolution
acq_mild,0.9652023006493738,0.961,0.9463,0.8085,0.9467
acq_mild_erase,0.9645397881637805,0.9504,0.9356,0.8157,0.9392
acq_mild_weighted,0.9637968448647221,0.9537,0.9346,0.7638,0.9335
strong,0.954008922690919,0.9453,0.8949,0.8334,0.9374
light,0.967872530100855,0.9537,0.8873,0.8447,0.9179
weighted_loss,0.9606498879707946,0.9515,0.8729,0.7945,0.9095
baseline (CE),0.966617435058976,0.9515,0.8716,0.8512,0.9321
sampler,0.9619306332444159,0.9443,0.8676,0.8057,0.9179
geo_rrc (light+RRC),0.9574386168383789,0.9569,0.843,0.7598,0.9174
geo_rrc+cutmix,0.9648506755505214,0.9574,0.8128,0.9117,0.8987
