recipe,clean,geometric,acquisition,background,resolution,all_families_mean
acq_mild,0.9652,0.961,0.956,0.8672,0.9546,0.9347
acq_mild_erase,0.9645,0.9551,0.9508,0.8718,0.9478,0.9314
acq_mild_weighted,0.9638,0.956,0.9476,0.829,0.9442,0.9192
light,0.9679,0.9569,0.9202,0.8874,0.9321,0.9242
strong,0.954,0.9456,0.9172,0.878,0.9429,0.9209
baseline (CE),0.9666,0.9562,0.9127,0.886,0.9394,0.9236
weighted_loss,0.9606,0.9563,0.9124,0.8444,0.9274,0.9101
sampler,0.9619,0.9507,0.909,0.8569,0.9293,0.9115
geo_rrc (light+RRC),0.9574,0.957,0.8928,0.8275,0.9269,0.9011
geo_rrc+cutmix,0.9649,0.9606,0.871,0.9302,0.9183,0.92
